   1304 ,  -16072 ,    3408 ,   -1799 ,     510 ,    -338
    676 ,  -12704 ,    -968 ,   29856 ,    -668 ,   -6807
   6460 ,   15940 ,   10196 ,   13118 ,   -4805 ,   10316
   7960 ,   13592 ,    5248 ,     911 ,     547 ,    -362
   6956 ,   13188 ,    6908 ,   -1917 ,     179 ,     522
   7152 ,   12780 ,    7432 ,   -2808 ,    -564 ,     172
   9064 ,   10476 ,   11340 ,  -23043 ,    4170 ,    8655
   7752 ,    -464 ,   13148 ,  -20698 ,    7610 ,    7086
   6628 ,   -7344 ,   13360 ,  -15688 ,    3586 ,    3652
   3092 ,  -12212 ,   10104 ,  -19642 ,    -142 ,    8149
---
  -4388 ,   -7076 ,   -6916 ,   32767 ,    -930 ,  -17009
   5164 ,   18532 ,   13592 ,    6170 ,    -183 ,    4416
   7120 ,   14868 ,    5796 ,    1893 ,     159 ,    -550
   6728 ,   14464 ,    5748 ,   -1372 ,     112 ,     -88
   8072 ,   12012 ,   10936 ,  -22065 ,    1245 ,    6576
   4320 ,   -3936 ,   14120 ,  -32768 ,    9231 ,    8515
   1988 ,  -14964 ,    8868 ,  -15187 ,   -2999 ,    4225
     16 ,  -15972 ,    3652 ,   -4981 ,    1813 ,    1237
    608 ,  -16572 ,    3584 ,     132 ,    -763 ,     120
    648 ,  -16104 ,    2376 ,    -100 ,    -467 ,    -143
---
    924 ,  -16568 ,    2552 ,   -1496 ,      96 ,      64
    688 ,  -16404 ,    2352 ,    1665 ,   -1484 ,    -314
  22300 ,   30636 ,   23944 ,   32767 ,    8929 ,  -14477
   8384 ,   11636 ,    5392 ,   -3386 ,    -418 ,    -911
   7956 ,   12640 ,    7796 ,   -2321 ,    -388 ,    1505
   7840 ,    5508 ,   14344 ,  -32768 ,    8873 ,    9245
   4856 ,   -7288 ,   12680 ,  -29237 ,    6157 ,    6078
   1084 ,  -14660 ,    5656 ,  -12406 ,   -2306 ,    2306
    176 ,  -15716 ,    3820 ,    -178 ,     279 ,     -42
    452 ,  -15616 ,    2748 ,     -32 ,     546 ,     -26
---
    640 ,  -16124 ,    2296 ,    -500 ,     282 ,     706
