  15280 ,   -2784 ,   -8108 ,     303 ,    -131 ,    -457
  15356 ,   -2916 ,   -7472 ,     602 ,     367 ,    -647
  15592 ,   -2772 ,   -7772 ,    -348 ,     230 ,    -114
  15276 ,   -2740 ,   -8100 ,   -3594 ,    -810 ,    1800
  14696 ,     600 ,  -12224 ,   32010 ,   -2799 ,  -16777
  15832 ,    2188 ,   -2152 ,   11840 ,    1049 ,   -7707
  16372 ,    1604 ,   -6008 ,     -13 ,    -129 ,    -171
  16312 ,    1716 ,   -5736 ,    -766 ,      43 ,     312
  16024 ,    1440 ,   -5436 ,   -2424 ,     122 ,    2034
  16332 ,     448 ,   -5412 ,   -9496 ,   -1912 ,    7878
---
  15976 ,     656 ,   -6636 ,    -776 ,    -609 ,   -1225
  16700 ,    1160 ,   -6408 ,   -3701 ,      73 ,    3183
  15188 ,   -1528 ,   -7996 ,  -21874 ,    1860 ,   17451
  13560 ,   -3100 ,  -11332 ,  -18850 ,   -1480 ,    9773
  13316 ,   -2728 ,  -10548 ,    -863 ,    1277 ,   -1054
  13748 ,   -2628 ,  -10368 ,   -1264 ,    -151 ,     188
  13568 ,   -2348 ,  -11692 ,    1350 ,    -262 ,   -1085
  17100 ,     168 ,     812 ,   19504 ,   -5319 ,  -21249
  15368 ,    1692 ,   -7520 ,     903 ,     -75 ,    1530
  15772 ,    2044 ,   -6932 ,   -6210 ,     580 ,    3568
---
  14148 ,   -2552 ,  -10316 ,     532 ,      60 ,    -632
  17792 ,     584 ,   -2436 ,   32767 ,    2430 ,  -32768
  16096 ,    2552 ,   -7504 ,     327 ,     -12 ,    1216
  15932 ,    1536 ,   -6944 ,   -1426 ,      42 ,     363
  15764 ,    1952 ,   -6776 ,  -32768 ,   -5651 ,   31875
  14428 ,   -3248 ,  -10180 ,  -11479 ,      76 ,    6961
  14188 ,   -3572 ,   -9360 ,   -3904 ,     135 ,     853
  13680 ,   -2600 ,  -11328 ,    7466 ,    -533 ,   -5509
  14412 ,    2096 ,   -3008 ,    6349 ,     517 ,  -15171
  15844 ,    1076 ,   -6104 ,   -4510 ,     348 ,    3093
---
  14436 ,   -3276 ,   -9316 ,    -353 ,    -315 ,    -195
  14436 ,   -3212 ,   -9456 ,    -271 ,     207 ,    -112
  14436 ,   -3176 ,   -9416 ,    -393 ,     268 ,    -155
  13352 ,   -2304 ,  -11448 ,   14599 ,     445 ,   -9439
  16596 ,    2764 ,   -1580 ,   20276 ,     806 ,  -13725
  16028 ,    1228 ,   -6836 ,   -2651 ,     -82 ,    2242
  15536 ,     496 ,   -6632 ,  -32768 ,   -5288 ,   29366
  14020 ,   -3404 ,   -9144 ,  -15436 ,     808 ,    7563
  13948 ,   -3168 ,  -10448 ,   -2498 ,     260 ,      29
  13728 ,   -3276 ,  -10268 ,    -972 ,      80 ,     -63
---
  15756 ,    2164 ,   -7552 ,   32767 ,    6570 ,  -32768
  16720 ,    2976 ,   -6572 ,    2458 ,    -302 ,   -2111
  15832 ,    1852 ,   -6684 ,   -1408 ,     -13 ,     591
  16408 ,    1368 ,   -5564 ,   -9248 ,    -138 ,    7479
  15128 ,   -2652 ,   -7256 ,  -27803 ,   -3086 ,   21108
  13740 ,   -3052 ,  -10644 ,   -9019 ,     559 ,    3398
  14468 ,   -3112 ,   -9828 ,   -1178 ,     -97 ,     155
  14256 ,   -3192 ,   -9804 ,   -2240 ,    -108 ,    1007
  11960 ,    -288 ,  -14320 ,   31057 ,     949 ,  -19865
  15440 ,    3180 ,   -4212 ,    8393 ,     449 ,  -12335
---
  14348 ,   -3164 ,   -9928 ,    -615 ,      94 ,      92
  14564 ,   -3044 ,   -9440 ,    -574 ,     166 ,      10
  14376 ,   -3048 ,   -9376 ,    -476 ,     106 ,    -148
  14448 ,   -2792 ,   -9188 ,     756 ,     547 ,    -718
  16600 ,    2380 ,   -4972 ,   32767 ,   17375 ,  -32768
  16140 ,    2744 ,   -6452 ,    3173 ,   -2248 ,   -3497
  15212 ,    2404 ,   -7936 ,   -1219 ,      18 ,     149
  17080 ,    2220 ,   -5352 ,  -19674 ,     931 ,   18299
  14536 ,   -1208 ,   -9028 ,  -26112 ,    3909 ,   14563
  14184 ,   -2468 ,  -10360 ,   -4787 ,    -107 ,    1826
---
  16060 ,    1504 ,   -7032 ,  -10188 ,     185 ,    9272
  15476 ,   -1952 ,   -7624 ,  -23210 ,   -3815 ,   18210
  13676 ,   -2844 ,  -10092 ,  -12072 ,    1917 ,    6532
  14260 ,   -2520 ,  -10548 ,   -3519 ,    -244 ,    1715
  14036 ,   -2584 ,  -10380 ,   -1940 ,    -877 ,     664
  13828 ,   -2364 ,  -10448 ,     -89 ,    -329 ,    -137
  14080 ,   -2200 ,  -10708 ,    -151 ,      13 ,    -374
  14860 ,     716 ,   -7568 ,   32767 ,   10617 ,  -32768
  15940 ,    1680 ,   -7788 ,    -883 ,    -712 ,    -672
  16232 ,    1800 ,   -6176 ,  -13562 ,      -1 ,   12338
---
  16032 ,    4872 ,   -6296 ,    4143 ,    -101 ,   -6230
  16060 ,    2820 ,   -6352 ,   -5792 ,     406 ,    4726
  14504 ,    -336 ,   -8732 ,  -20259 ,   -4822 ,   17556
  13444 ,   -1864 ,  -10604 ,  -14509 ,     957 ,    7891
  14524 ,   -2544 ,   -8916 ,    -556 ,    1053 ,    -252
  14736 ,   -2644 ,   -9656 ,   -1487 ,     358 ,     487
  14812 ,    1808 ,  -10688 ,   32767 ,   13202 ,  -23344
  15944 ,    5780 ,   -7000 ,    9631 ,   -1595 ,   -8028
  14920 ,    4504 ,   -7256 ,   -3596 ,     428 ,    2291
  14940 ,    2856 ,   -7060 ,  -32314 ,   -3751 ,   23878
---
  16924 ,    2876 ,   -6368 ,    8910 ,    -602 ,   -7537
  15300 ,    3020 ,   -7184 ,     194 ,    -442 ,   -1403
  15984 ,    2796 ,   -6052 ,  -11756 ,    -590 ,    9989
  15076 ,   -1212 ,   -7920 ,  -24207 ,   -3970 ,   18189
  15300 ,   -2412 ,   -7736 ,  -13921 ,    -194 ,    6445
  14960 ,   -2588 ,   -9052 ,   -1036 ,     576 ,      96
  14772 ,   -2380 ,   -9012 ,    -414 ,     346 ,     -40
  15848 ,    5116 ,  -10136 ,   32767 ,    1911 ,  -32768
  16244 ,    3684 ,   -7440 ,    5902 ,   -1043 ,   -7506
  15760 ,    2664 ,   -7008 ,   -8275 ,     439 ,    7185
---
  18540 ,     764 ,   -2596 ,   32767 ,    3299 ,  -32768
  15080 ,    2436 ,   -8252 ,     -93 ,     -32 ,   -1259
  16352 ,    3268 ,   -6444 ,   -8757 ,    1246 ,    6624
  15052 ,    -832 ,   -8312 ,  -20157 ,   -3691 ,   16310
  15024 ,   -1968 ,   -9036 ,  -10668 ,    2954 ,    4719
  14896 ,   -1980 ,   -8820 ,   -2598 ,     118 ,    1082
  14996 ,   -1752 ,   -9188 ,   -1808 ,      13 ,     742
  15136 ,   -1572 ,   -9084 ,    3201 ,    -178 ,   -3015
  18916 ,   -2936 ,    -832 ,   32767 ,   -4270 ,  -21077
  15224 ,    1488 ,   -8792 ,     953 ,    -154 ,   -1471
---
  14740 ,   -1736 ,   -9532 ,    2479 ,     166 ,   -1529
  14596 ,     416 ,   -7420 ,   32767 ,    4347 ,  -26299
  15952 ,    1840 ,   -7856 ,    2429 ,   -1122 ,   -3782
  16108 ,    2576 ,   -6468 ,  -19101 ,    1332 ,   18016
  14288 ,   -1132 ,   -9548 ,  -10589 ,    -809 ,    7271
  14536 ,   -1660 ,   -9544 ,   -7743 ,     196 ,    3842
  15032 ,   -1940 ,   -8540 ,   -2817 ,     242 ,    1451
  14856 ,   -1860 ,   -9228 ,   -2153 ,     252 ,     859
  15056 ,    2488 ,  -10768 ,   32767 ,    9654 ,  -25273
  16324 ,    4592 ,   -7624 ,    4096 ,   -1952 ,   -2315
---
  14828 ,   -1836 ,   -9060 ,     892 ,     814 ,   -1001
  12572 ,    1604 ,  -13260 ,   27927 ,    2783 ,  -20381
